Order | Stepsize (1eX) | Bounds (1eX) | Integral | Error | NormConst 
3 | 6 | -6 | -4.18696e-26 | -4.18696e-26 | -2.38837e+25
3 | 6 | -5 | -5.75927e-24 | -5.75927e-24 | -1.73633e+23
3 | 6 | -4 | -7.34575e-23 | -7.34575e-23 | -1.36133e+22
3 | 6 | -3 | -3.58984e-19 | -3.58984e-19 | -2.78564e+18
3 | 6 | -2 | 4.95132e-18 | 4.95132e-18 | 2.01966e+17
3 | 6 | -1 | -5.84092e-17 | -5.84092e-17 | -1.71206e+16
3 | 6 | 0 | 3.30606e-16 | 3.30606e-16 | 3.02475e+15
3 | 6 | 1 | 1.39754e-16 | 1.39754e-16 | 7.15542e+15
3 | 6 | 2 | 4.5406e-15 | 4.5406e-15 | 2.20235e+14
3 | 6 | 3 | 1.42813e-17 | 1.42813e-17 | 7.00217e+16
3 | 6 | 4 | -1.06769e-11 | -1.06769e-11 | -9.366e+10
3 | 6 | 5 | -1.08179e-10 | -1.08179e-10 | -9.2439e+09
3 | 6 | 6 | 0 | 0 | inf
3 | 6 | 7 | 0 | 0 | inf
3 | 6 | 8 | 0 | 0 | inf
3 | 6 | 9 | 0 | 0 | inf
3 | 6 | 10 | 0 | 0 | inf
